,Address,State,ProjectKey,ProjectName,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
450,5642 rosehill shawnee mission ks 66216,KS ,9385,Ray Marsh Elementary School Project,Elementary School,RAY MARSH ELEM,532,72000.0,135.33834586466165
184,18211 w las brisas dr goodyear az 85338,AZ ,26476,Liberty ESD New K-8 Elementary School,Elementary School,LAS BRISAS ACADEMY,537,61500.0,114.52513966480447
159,16610 bennington road bennington ne 68007,NE ,74309,Bennington HS Aux Gym Addn,High School,BENNINGTON HIGH SCHOOL,766,26500.0,34.595300261096604
109,130 alameda ave tacoma wa 98466,WA ,86540,Wainwright Elementary Phase 1 SD+,Elementary School,WAINWRIGHT,502,65000.0,129.4820717131474
556,9150 lexington drive colorado springs co 80920,CO ,20494,Mountain Ridge Middle School,Middle School,MOUNTAIN RIDGE MIDDLE SCHOOL,989,111400.0,112.63902932254803
316,3223 il route 176 crystal lake il 60014,IL ,12113,Prairie Grove Middle School,Middle School,PRAIRIE GROVE ELEM SCHOOL,477,104000.0,218.02935010482182
442,520 milford street salida co 81201,CO ,20536,Salida New Middle School,Middle School,SALIDA MIDDLE SCHOOL,372,56175.0,151.00806451612902
465,6205 farthing drive colorado springs co 80906,CO ,20485,Pinon Valley Elementary School,Elementary School,PINON VALLEY ELEMENTARY SCHOOL,315,45000.0,142.85714285714286
62,11375 sw center st beaverton or 97005,OR ,77979,Beaverton SD ACMA,Academic,ARTS AND COMMUNICATION MAGNET ACADEMY,706,75900.0,107.5070821529745
44,1085 pioneer trail east chaska mn 55318,MN ,20871,Pioneer Ridge Freshman Center,Middle School,PIONEER RIDGE MIDDLE SCHOOL,441,123800.0,280.72562358276645
323,3302 w 18th ave emporia ks 66801,KS ,9220,Emporia High School Addns & Renov,High School,EMPORIA HIGH,1598,55566.0,34.77221526908636
178,1805 preserve drive colorado springs co 80906,CO ,20484,Gold Camp Elementary School -  Cheyenne ,Elementary School,GOLD CAMP ELEMENTARY SCHOOL,472,46000.0,97.45762711864407
412,500 lawrence street baldwin city ks 66006,KS ,9868,Baldwin City Primary Center,Elementary School,BALDWIN ELEMENTARY PRIMARY CENTER,344,65195.0,189.5203488372093
331,35 s 4th street philadelphia pa 19106,PA ,50465,Mastery Charter School Lenfest Campus Re,Academic,MASTERY CHS-LENFEST CAMPUS,582,12000.0,20.61855670103093
332,35 s 4th street philadelphia pa 19106,PA ,50466,Mastery Charter School Lenfest Campus Re,Academic,MASTERY CHS-LENFEST CAMPUS,582,12000.0,20.61855670103093
125,13401 se 132nd ave clackamas or 97015,OR ,77273,NCSD Sunnyside ES,Elementary School,SUNNYSIDE ELEMENTARY SCHOOL,569,52000.0,91.3884007029877
376,425 n waverly road gardner ks 66030,KS ,75980,Gardner Edgerton HS-Additions & Renov,High School,GARDNER EDGERTON HIGH,1725,50000.0,28.985507246376812
134,1420 neal dow ave chico ca 95926,CA ,88673,Chico USD Neal Dow ES Modernization,Elementary School,NEAL DOW ELEMENTARY,355,49800.0,140.28169014084506
152,1601 sw 19th ave austin mn 55912,MN ,23893,Southgate Elementary Addition & Remodel,Elementary School,SOUTHGATE ELEMENTARY,532,57750.0,108.55263157894737
400,4622 ohio street longview wa 98632,WA ,28470,Robert Gray Elementary School - Longview,Elementary School,ROBERT GRAY ELEMENTARY,445,47000.0,105.61797752808988
93,1234 n monticello ave chicago il 60651,IL ,12728,CPS - Cameron ES Renovation,Elementary School,CAMERON ELEM SCHOOL,688,119500.0,173.6918604651163
0,0727 cove boulevard dillon co 80435,CO ,20473,Summit Cove Elementary School,Elementary School,SUMMIT COVE ELEMENTARY SCHOOL,250,52000.0,208.0
290,307 south morrill ave hiawatha ks 66434,KS ,10313,Hiawatha Middle School,Middle School,HIAWATHA MIDDLE SCHOOL,305,65487.0,214.71147540983605
266,2570 south 42nd street kansas city ks 66106,KS ,10445,Junction Primary Turner School Dist,,JUNCTION ELEMENTARY,271,13600.0,50.18450184501845
544,8715 holmes kansas city mo 64131,MO ,10848,Center High School Addn & Rnvs.,High School,CENTER SR. HIGH,668,185650.0,277.9191616766467
536,8224 ne 138th kirkland wa 98034,WA ,26100,Thoreau Elementary School,Elementary School,THOREAU ELEMENTARY,480,52217.0,108.78541666666666
222,211 e main st ottawa il 61350,IL ,12009,Ottawa Fieldhouse,,OTTAWA TOWNSHIP HIGH SCHOOL,1188,108000.0,90.9090909090909
528,8050 n 129th avenue omaha ne 68142,NE ,5004,Omaha Pub Sch New Davis Mid Sch Prog,Middle School,ALFONZA W DAVIS MIDDLE SCHOOL,725,182440.0,251.64137931034483
510,7654 n 19th ave phoenix az 85021,AZ ,14879,Phoenix Day School for the Deaf,Middle School,ASDB/PHOENIX DAY SCHOOL,255,51410.0,201.6078431372549
381,431 27th avenue longview wa 98632,WA ,28471,St. Helen's Elementary School,Elementary School,SAINT HELENS ELEMENTARY,335,42000.0,125.3731343283582
49,1101 hoquiam ave ne renton wa 98059,WA ,60208,Hazen High School Addition - Pre-Design,High School,HAZEN SENIOR HIGH SCHOOL,1713,295800.0,172.67950963222418
48,1101 hoquiam ave ne renton wa 98059,WA ,60207,Hazen High School Addition - Pre-Design ,High School,HAZEN SENIOR HIGH SCHOOL,1713,295800.0,172.67950963222418
97,125 sunset rd limerick pa 19468,PA ,16592,SFASD - New ES at Winnie's Site,,EVANS EL SCH,581,90000.0,154.9053356282272
312,32 e 115th st chicago il 60628,IL ,717,CPS Curtis Elementary School Renovation,Elementary School,CURTIS ELEM SCHOOL,446,105000.0,235.42600896860986
357,400 eisenhower baldwin city ks 66006,KS ,10005,Baldwin Jr. High Multipurpose Rm Renov,Middle School,BALDWIN JUNIOR HIGH SCHOOL,336,103861.0,309.11011904761904
105,12500 huron street westminster co 80234,CO ,19291,Adams 12 New HS #5,High School,MOUNTAIN RANGE HIGH SCHOOL,1892,247000.0,130.54968287526427
470,6401 bear ave bell ca 90201,CA ,31110,LAUSD - Corona Primary School,Academic,MARTHA ESCUTIA PRIMARY CENTER,278,55132.0,198.31654676258992
223,2112 s tyler st tacoma wa 98405,WA ,26269,Foss High School Renovation & Addn PD-SD,High School,FOSS,627,255000.0,406.69856459330146
478,6615 e cholla st scottsdale az 85254,AZ ,15813,SUSD Cocopah Middle School Rebuild,Middle School,COCOPAH MIDDLE SCHOOL,903,107095.0,118.59911406423035
136,1431 n leamington ave chicago il 60651,IL ,12623,CPS - Lewis Elementary School,Elementary School,LEWIS ELEM SCHOOL,486,146300.0,301.02880658436214
135,14301 byron hwy  byron ca 94514,CA ,32409,Byron-Excelsior MS Expansion,Academic,EXCELSIOR MIDDLE,528,41000.0,77.65151515151516
387,4400 north 107 street kansas city ks 66109,KS ,9803,Piper High School Additions & Renovation,High School,PIPER HIGH,658,118470.0,180.04559270516717
121,1322 avenue i gothenburg ne 69138,NE ,2711,Gothenburg K-12 Addition and Remodel,Elementary School,GOTHENBURG SECONDARY SCHOOL,419,113355.0,270.5369928400955
122,1322 avenue i gothenburg ne 69138,NE ,5305,Gothenburg K-12 Cafeteria Remodel,Elementary School,GOTHENBURG SECONDARY SCHOOL,419,12000.0,28.639618138424822
558,925 south holly liberal ks 67901,KS ,80048,"Liberal, KS - New MacArthur ES",Elementary School,MACARTHUR ELEMENTARY SCHOOL,407,71743.0,176.27272727272728
337,3550 prospector st kingman az 86401,AZ ,15154,KUSD New Middle School,Middle School,WHITE CLIFFS MIDDLE SCHOOL,695,87000.0,125.17985611510791
199,19710 state route 534 mount vernon wa 98274,WA ,28292,Conway School+,Elementary School,CONWAY SCHOOL,489,60000.0,122.69938650306749
334,3500 sw windemere dr lee 's summit mo 64082,MO ,10371,Summit Lakes Junior High Sch,High School,SUMMIT LAKES MIDDLE,941,139077.0,147.7970244420829
203,200 120th street sw everett wa 98204,WA ,26065,Mukilteo SD - Mariner HS,High School,MARINER HIGH SCHOOL,2426,247000.0,101.81368507831822
60,11335 s 204th street gretna ne 68028,NE ,5196,Gretna High School Addition,High School,GRETNA HIGH SCHOOL,1445,88000.0,60.89965397923876
379,428 pacific osawatomie ks 66064,KS ,10245,Osawatomie Usd 367-Ms Addn,,OSAWATOMIE MIDDLE SCHOOL,233,8100.0,34.76394849785408
64,11411 s eggleston ave chicago il 60628,IL ,716,CPS Haley Elementary School Renovations,Elementary School,HALEY ELEM ACADEMY,516,64000.0,124.03100775193798
72,11940 sw lynnfield ln portland or 97225,OR ,73841,Beaverton SD William Walker,Elementary School,WILLIAM WALKER ELEMENTARY SCHOOL,519,88400.0,170.32755298651253
168,17801 grand avenue omaha ne 68116,NE ,5378,Elkhorn Grand View New Middle School #4,Middle School,ELKHORN GRANDVIEW MIDDLE SCHOOL,663,118800.0,179.18552036199094
413,500 n jesse james excelsior springs mo 64024,MO ,10279,Westview Elem Sch Addition,Elementary School,WESTVIEW ELEMENTARY,526,32000.0,60.836501901140686
77,1201 galloway steilacoom wa 98388,WA ,28503,Steilacoom Sd-Cherrydale Elem  Renovatio,Elementary School,CHERRYDALE ELEMENTARY,399,36134.0,90.56140350877193
516,7733 se raymond st portland or 97206,OR ,61510,Portland Public Schools - Marysville K-8,Elementary School,MARYSVILLE ELEMENTARY SCHOOL,383,54000.0,140.99216710182768
515,7733 se raymond st portland or 97206,OR ,61509,Portland Public Schools - Marysville K-8,Elementary School,MARYSVILLE ELEMENTARY SCHOOL,383,54000.0,140.99216710182768
514,7733 se raymond st portland or 97206,OR ,61508,Portland Public Schools - Marysville K-8,Elementary School,MARYSVILLE ELEMENTARY SCHOOL,383,54000.0,140.99216710182768
224,21300 college blvd olathe ks 66061,KS ,9516,Prairie Learning Center FF & E,,OLATHE NORTHWEST HIGH SCHOOL,1883,31000.0,16.463090812533192
552,902 s jefferson kearney mo 64060,MO ,10864,Kearney Elementary HVAC Remodel,Elementary School,KEARNEY ELEM.,269,8000.0,29.739776951672862
566,9594 kiefer blvd  sacramento ca 95827,CA ,30333,Rosemont H.S. Auditorium,High School,ROSEMONT HIGH,1353,17000.0,12.564671101256467
565,9594 kiefer blvd  sacramento ca 95827,CA ,30339,Rosemont H.S. Portables,High School,ROSEMONT HIGH,1353,15840.0,11.707317073170731
463,616 north 2nd street johnstown co 80534,CO ,20478,Roosevelt High School Addition & Remodel,High School,ROOSEVELT HIGH SCHOOL,1061,246000.0,231.85673892554195
513,7701 nw barry rd kansas city mo 64153,MO ,10402,Park Hill High School Addns & Renovation,High School,PARK HILL HIGH,1906,254000.0,133.26337880377756
157,1625 madison way lynnwood wa 98087,WA ,84308,Mukilteo School District- Lake Stickney,Elementary School,LAKE STICKNEY ELEMENTARY SCHOOL,616,61000.0,99.02597402597402
156,1625 madison way lynnwood wa 98087,WA ,1045,Mukilteo School District- Lake Stickney,Elementary School,LAKE STICKNEY ELEMENTARY SCHOOL,616,79000.0,128.24675324675326
358,400 maag ave oakdale ca 95361,CA ,31768,OJUSD - Oakdale Jr New Clssrm Bldg,Academic,OAKDALE JUNIOR HIGH,867,23372.0,26.957324106113035
401,4800 telluride street  2 denver co 80249,CO ,20090,EGD E-12 Campus Phase I,,DSST: GREEN VALLEY RANCH HIGH SCHOOL,556,186000.0,334.53237410071944
186,1835 osauka rd ne sauk rapids mn 56379,MN ,21049,Sauk Rapids Rice HS,High School,SAUK RAPIDS-RICE SENIOR HIGH,1374,340000.0,247.45269286754004
29,1020 sw cherry st ankeny ia 50023,IA ,8810,Southview Middle School - Phase 2,Middle School,SOUTHVIEW MIDDLE SCHOOL,884,70000.0,79.18552036199095
423,501 n grand st chariton ia 50049,IA ,8574,Chariton H.S. Additions & Remodeling,High School,CHARITON HIGH SCHOOL,354,102000.0,288.135593220339
328,33700 se high school way scappoose or 97056,OR ,29679,Scappoose High School,High School,SCAPPOOSE HIGH SCHOOL,710,25000.0,35.2112676056338
317,3223 s hampton dr bettendorf ia 52722,IA ,8787,Hoover ES Addition & Renovation,Elementary School,HERBERT HOOVER ELEMENTARY SCHOOL,427,12563.0,29.421545667447308
431,502 n main st holmen wi 54636,WI ,23899,Holmen Middle School,Middle School,HOLMEN MIDDLE,886,135000.0,152.37020316027088
162,1705 ne trilein dr ankeny ia 50021,IA ,9062,Ankeny CSD - Northeast Elementary School,Elementary School,NORTHEAST ELEMENTARY,702,25300.0,36.03988603988604
421,500 w windsor santa maria ca 93458,CA ,31342,SMBSD - Adam Elementary School,Elementary School,ADAM (WILLIAM LAIRD) ELEMENTARY,923,10512.0,11.388949079089924
500,721 griffith liberal ks 67901,KS ,80034,"Liberal, KS - Pine Street MS",Middle School,SEYMOUR ROGERS MIDDLE SCHOOL,520,97381.0,187.27115384615385
255,2381 shore hawk ave salton city ca 92275,CA ,31251,CVUSD-New Salton Cty Elementry Schl,Elementary School,WEST SHORES HIGH,541,239904.0,443.44547134935306
279,2826 e grovers ave phoenix az 85032,AZ ,16186,PVUSD Vista Verde M.S. Renovations,Middle School,VISTA VERDE MIDDLE SCHOOL,671,25521.0,38.034277198211626
361,402 fisher ave crookston mn 56716,MN ,23904,Crookston Senior High School,High School,CROOKSTON SECONDARY,523,150000.0,286.80688336520075
396,4500 nw river park dr riverside mo 64150,MO ,10248,Park Hill New High School,High School,PARK HILL SOUTH HIGH,1724,254000.0,147.33178654292342
56,1129 ashland ave chariton ia 50049,IA ,8586,Van Allen Elementary School Renovation,Elementary School,VAN ALLEN ELEMENTARY SCHOOL,281,36730.0,130.711743772242
206,2000 n western liberal ks 67901,KS ,80030,"Liberal, KS -  Western MS",Middle School,EISENHOWER MIDDLE SCHOOL,562,97381.0,173.27580071174378
274,2727 edinburgh channel rd kingsport tn 37664,TN ,24853,Kingsport Elementary School,Elementary School,JOHN ADAMS ELEMENTARY SCHOOL,473,88500.0,187.10359408033827
165,17161 w bajada rd surprise az 85387,AZ ,14558,Desert Oasis K-8 Elementary School,Elementary School,DESERT OASIS ELEMENTARY SCHOOL,443,69307.0,156.4492099322799
385,440 crossfield rd king of prussia pa 19406,PA ,16578,UMASD-Football Stadium Lighting,,UPPER MERION HS,1198,165000.0,137.7295492487479
90,1223 n noland rd independence mo 64050,MO ,73336,William Chrisman HS Additions & Reno,High School,WILLIAM CHRISMAN HIGH,1371,18000.0,13.12910284463895
232,22104 rhododendron ln nw poulsbo wa 98370,WA ,28402,Vinland Elementary School - North Kitsap,Elementary School,VINLAND ELEMENTARY,629,56000.0,89.0302066772655
481,67700 verona rd  cathedral city ca 92234,CA ,2709,Rio Vista Elementary School,Elementary School,RIO VISTA ELEMENTARY,713,47000.0,65.91865357643759
391,4500 happy jack road cheyenne wy 82001,WY ,13142,Laramie Cnty SD #1 New Elem. Phase II,Elementary School,FREEDOM ELEMENTARY,400,42647.0,106.6175
390,4500 happy jack road cheyenne wy 82001,WY ,13135,Laramie County SD #1 New Elem.,Elementary School,FREEDOM ELEMENTARY,400,42647.0,106.6175
172,1800 w agnew road raymond ne 68428,NE ,72530,Raymond Central Jr Sr Hi Sch Addn,High School,RAYMOND CENTRAL PRESCHOOL,36,5580.0,155.0
173,1800 w agnew road raymond ne 68428,NE ,26323,Raymond Central Jr Sr Hi Sch Addn,High School,RAYMOND CENTRAL PRESCHOOL,36,5405.0,150.13888888888889
174,1800 w agnew road raymond ne 68428,NE ,70222,Raymond Central Jr Sr Hi Sch Addn,High School,RAYMOND CENTRAL PRESCHOOL,36,5405.0,150.13888888888889
459,601 county rd 61 thief river falls mn 56701,MN ,23900,Challenger Elementary School,Elementary School,CHALLENGER ELEMENTARY,945,143000.0,151.32275132275132
86,1213 west allison road cheyenne wy 82007,WY ,13196,Laramie Cnty SD#1 New High School,High School,SOUTH HIGH SCHOOL,1172,245000.0,209.0443686006826
445,5340 oak grove rd kansas city ks 66106,KS ,76499,Oak Grove Elementary School,Elementary School,OAK GROVE ELEM,537,67577.0,125.8417132216015
322,3301 technology dr duluth mn 55811,MN ,22993,Duluth Edison -Snowflake School,Middle School,NORTH STAR ACADEMY,985,89000.0,90.35532994923858
509,7575 st charles road columbia mo 65202,MO ,11170,Columbia High School,High School,MURIEL W. BATTLE HIGH SCHOOL,1526,301479.0,197.56159895150722
467,623 madison st marshall wi 53559,WI ,23950,Marshall School District-Senior High,High School,MARSHALL HIGH,305,107980.0,354.0327868852459
473,65250 coahuilla st  mecca ca 92254,CA ,34061,CVUSD - MECCA Modernization As-built   N,Academic,MECCA ELEMENTARY,743,16723.0,22.507402422611037
386,440 e wildcat way el dorado ks 67042,KS ,9948,El Dorado USD 490 - Middle School,Middle School,EL DORADO MIDDLE,397,101579.0,255.86649874055416
115,1302 n ankeny blvd ankeny ia 50023,IA ,7984,Ankeny High School Addition,High School,NORTHVIEW MIDDLE SCHOOL,935,22000.0,23.529411764705884
114,1302 n ankeny blvd ankeny ia 50023,IA ,7600,Ankeny H.S./Family YMCA-Addition,High School,NORTHVIEW MIDDLE SCHOOL,935,32000.0,34.224598930481285
106,12701 w 67th street shawnee mission ks 66216,KS ,9282,SM Northwest HS HVAC Project,High School,SHAWNEE MISSION NORTHWEST HIGH,1654,75000.0,45.34461910519951
350,3800 south logan street englewood co 80113,CO ,19469,Englewood HS Field Improvements,High School,ENGLEWOOD HIGH SCHOOL,554,60000.0,108.30324909747293
313,3200 n 207th plaza elkhorn ne 68022,NE ,38219,Elkhorn MS Entrance Gym Addn & Renov,Middle School,ELKHORN MIDDLE SCHOOL,536,30000.0,55.97014925373134
228,2200 s lake tahoe dr chowchilla ca 93610,CA ,30130,Ronald Reagan Elementary School,Elementary School,RONALD REAGAN ELEMENTARY,514,43933.0,85.4727626459144
289,3050 thames river dr oxnard ca 93036,CA ,30144,Rio Vista Middle School,Middle School,RIO VISTA MIDDLE,696,74000.0,106.32183908045977
37,10475 e lakeview dr scottsdale az 85258,AZ ,16258,Laguna Elementary School,Elementary School,LAGUNA ELEMENTARY SCHOOL,388,73000.0,188.1443298969072
75,1200 trojan dr osawatomie ks 66064,KS ,9593,Osawatomie High School Additions,High School,OSAWATOMIE HIGH,323,55700.0,172.44582043343652
76,1200 trojan dr osawatomie ks 66064,KS ,10244,Osawatomie Elementary School and Middle ,Elementary School,OSAWATOMIE HIGH,323,71637.0,221.78637770897834
531,817 w main st waterford wi 53185,WI ,23896,Evergreen Elementary School,Elementary School,EVERGREEN ELEMENTARY,421,45000.0,106.88836104513064
25,1010 east state street trenton nj 8609,NJ ,25448,P.J. Hill PreK - 8 School,,P.J. HILL ELEMENTARY,810,110500.0,136.41975308641975
24,1010 east state street trenton nj 8609,NJ ,25557,P.J. Hill PreK to 8 School,Elementary School,P.J. HILL ELEMENTARY,810,111200.0,137.28395061728395
315,3206 renner dr council bluffs ia 51501,IA ,6154,Kreft Elementary School,Elementary School,E A KREFT PRIMARY SCHOOL,497,33000.0,66.39839034205231
92,1234 cresthaven dr silver spring md 20903,MD ,79340,"Cresthaven Elementary School, Silver Spr",Elementary School,CRESTHAVEN ELEMENTARY,505,74000.0,146.53465346534654
344,3700 prospector st kingman az 86401,AZ ,15303,KUSD New Elementary School,Elementary School,DESERT WILLOW ELEMENTARY SCHOOL,429,50000.0,116.55011655011656
471,6498 ridge ave philadelphia pa 19128,PA ,16687,Roxborough HS - Major Renovations,High School,ROXBOROUGH HS,783,240000.0,306.51340996168585
325,3333 18th st bettendorf ia 52722,IA ,8741,Bettendorf HS Additions & Renovations,High School,BETTENDORF HIGH SCHOOL,1549,51000.0,32.9244673983215
149,1590 west fillmore street colorado springs co 80904,CO ,20491,Coronado High School Additions and Remod,High School,CORONADO HIGH SCHOOL,1385,37500.0,27.075812274368232
