,Address,State,ProjectKey,ProjectName,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
113,1301 n 10th st  independence ks 67301,KS ,9899,"Independence, KS - High School",High School,INDEPENDENCE SR HIGH,584,166468.0,285.04794520547944
512,7690 e williams dr scottsdale az 85255,AZ ,13690,Pinnacle Peak Elem. School Roof Leaks  T,Elementary School,PINNACLE PEAK PREPARATORY,607,78589.0,129.47116968698518
511,7690 e williams dr scottsdale az 85255,AZ ,13686,Sonoran Hills Elementary School,Elementary School,PINNACLE PEAK PREPARATORY,607,78589.0,129.47116968698518
88,122 sewall road bridgeton nj 8302,NJ ,25471,Hopewell Twp Public Schools-A.O.R.,,HOPEWELL CREST,496,80938.0,163.18145161290323
87,122 sewall road bridgeton nj 8302,NJ ,25475,Hopewell Twp Public Schools A.O.R.,,HOPEWELL CREST,496,80938.0,163.18145161290323
190,1901 crestwood dr north little rock ar 72116,AR ,65322,Crestwood Elementary,Elementary School,CRESTWOOD ELEMENTARY SCHOOL,483,67666.0,140.0952380952381
205,200 e pinewood seward ne 68434,NE ,5636,Seward New Elementary School Addition,Elementary School,SEWARD ELEMENTARY SCHOOL,565,14400.0,25.486725663716815
367,4141 w mcneil st laveen az 85339,AZ ,15318,Laveen Elementary School,Elementary School,LAVEEN ELEMENTARY SCHOOL,888,96613.0,108.79842342342343
530,8150 santa fe dr shawnee mission ks 66204,KS ,10247,Overland Park Elem School,Elementary School,OVERLAND PARK ELEM,447,62000.0,138.70246085011186
446,5400 onyx dr bismarck nd 58503,ND ,11719,Bismarck Liberty Elementary School,Elementary School,LIBERTY ELEMENTARY SCHOOL,623,76625.0,122.9935794542536
503,7315 bloomington ave s richfield mn 55423,MN ,23911,Centennial Elementary School - Richfield,Elementary School,CENTENNIAL ELEMENTARY,411,60400.0,146.95863746958636
397,4510 bawell street baton rouge la 70808,LA ,25192,East Baton Rouge - High School,High School,BROADMOOR ELEMENTARY SCHOOL,589,250000.0,424.44821731748726
570,n5660 broad st shiocton wi 54170,WI ,24238,Shiocton School District Additions and R,,SHIOCTON ELEMENTARY,499,73900.0,148.09619238476955
89,12220 rd  36 madera ca 93636,CA ,33176,GVUSD - Liberty High School,High School,LIBERTY HIGH,579,88137.0,152.22279792746113
330,34660 parkway dr cloverdale or 97112,OR ,29427,Nestucca Valley SD,High School,NESTUCCA HIGH SCHOOL,222,57500.0,259.009009009009
285,300 spruce ave s thief river falls mn 56701,MN ,23902,Franklin Middle School Renovation and Ad,Middle School,FRANKLIN MIDDLE,478,141000.0,294.97907949790795
176,1801 orchard ave oskaloosa ia 52577,IA ,7462,Oskaloosa Elementary School,Elementary School,OSKALOOSA ELEMENTARY SCHOOL,932,138000.0,148.068669527897
225,2135 woodland dr dubuque ia 52002,IA ,8863,JFK Elementary School Addt & Renov,Elementary School,JOHN KENNEDY ELEMENTARY SCHOOL,579,25336.0,43.758203799654574
474,65705 johnson st  mecca ca 92254,CA ,30136,CVUSD Saul Martinez Elem School,Elementary School,SAUL MARTINEZ ELEMENTARY,1040,45425.0,43.67788461538461
460,606 illinois st blairsburg ia 50034,IA ,8458,NE Hamilton CSD Add. to K-12 Facility,,NORTHEAST HAMILTON ELEMENTARY SCHOOL,128,15100.0,117.96875
256,2400 montana ave santa monica ca 90403,CA ,30133,SMMUSD Franklin Elementary School Add/Mo,Elementary School,FRANKLIN ELEMENTARY,727,109012.0,149.94773039889958
309,3150 thames river oxnard ca 93036,CA ,30143,Rio Del Mar Elementary School,Elementary School,RIO DEL MAR,403,42013.0,104.25062034739454
319,32500 easton road easton ks 66020,KS ,9611,Pleasant Ridge MS/HS Addns,High School,PLEASANT RIDGE HIGH,203,3930.0,19.35960591133005
169,1800 fairway ave north little rock ar 72116,AR ,25272,"Lakewood ES - North Little Rock, AR",Elementary School,LAKEWOOD ELEMENTARY SCHOOL,459,63150.0,137.58169934640523
52,11212 ne 112th kirkland wa 98033,WA ,27720,LWSD - Bell Replacement Elementary +,Elementary School,BELL ELEMENTARY,546,65306.0,119.60805860805861
15,1001 15th ave south milwaukee wi 53172,WI ,24405,South Milwaukee S.D.,High School,SOUTH MILWAUKEE MIDDLE,697,295000.0,423.24246771879484
403,4800 telluride street  4 denver co 80249,CO ,20366,EGD - Building 5,Academic,SOAR AT GREEN VALLEY RANCH,437,47000.0,107.55148741418765
402,4800 telluride street  4 denver co 80249,CO ,20101,GVR - Vista Academy,Academic,SOAR AT GREEN VALLEY RANCH,437,30000.0,68.64988558352402
108,12955 aurora ave urbandale ia 50323,IA ,7608,Urbandale CSD-Webster Elementary School,Elementary School,WEBSTER ELEMENTARY SCHOOL,540,94000.0,174.07407407407408
265,25250 n 35th avenue glendale az 85310,AZ ,13629,DVUSD High School #4,High School,SANDRA DAY O'CONNOR HIGH SCHOOL,2672,358326.0,134.10404191616766
13,1000 grant st n bondurant ia 50035,IA ,8097,Bondurant-Farrar CSD - High School,High School,BONDURANT-FARRAR HIGH SCHOOL,617,81500.0,132.0907617504052
14,1000 grant st n bondurant ia 50035,IA ,8766,Bondurant-Farrar HS Safe Room Addition,High School,BONDURANT-FARRAR HIGH SCHOOL,617,8800.0,14.26256077795786
469,6400 sheridan ave s richfield mn 55423,MN ,23909,Sheridan Hills Elementary School - Richf,Elementary School,SHERIDAN HILLS ELEMENTARY,429,58150.0,135.54778554778554
211,201 e mathews dr gilbert ia 50105,IA ,7924,Gilbert Middle School,Middle School,GILBERT MIDDLE SCHOOL,379,78000.0,205.8047493403694
529,815 locust st yankton sd 57078,SD ,11569,Yankton Lincoln Elem.School Add/Renov. N,Elementary School,LINCOLN ELEMENTARY - 04,371,5000.0,13.477088948787062
524,801 montana ave santa monica ca 90403,CA ,30135,SMMUSD Roosevelt Elementary School,Elementary School,ROOSEVELT ELEMENTARY,755,27294.0,36.150993377483445
194,1903 crawford st boone ia 50036,IA ,8990,Franklin Elementary School,Elementary School,FRANKLIN ELEMENTARY SCHOOL,358,22500.0,62.849162011173185
272,2725 michigan ave stockton ca 95204,CA ,30545,Webster Middle School Modernization,Middle School,COMMODORE STOCKTON SKILLS,1081,106715.0,98.71877890841813
479,67 ne izett st oak harbor wa 98277,WA ,28489,Oak Harbor-N Whidbey Mid Sch,Middle School,NORTH WHIDBEY MIDDLE SCHOOL,841,84190.0,100.10701545778835
18,1001 w stone st fayetteville ar 72701,AR ,25237,Fayetteville HS - Phase II,High School,FAYETTEVILLE HIGH SCHOOL EAST,2628,353381.0,134.46765601217655
498,7111 aurora ave urbandale ia 50322,IA ,7622,Urbandale HS Reconstruction Phase I,High School,URBANDALE HIGH SCHOOL,1326,86800.0,65.46003016591251
497,7111 aurora ave urbandale ia 50322,IA ,7626,Urbandale HS Phase II - Bid I,High School,URBANDALE HIGH SCHOOL,1326,188000.0,141.77978883861238
254,2350 osage st sidney ne 69162,NE ,4747,Sidney Sch Dist New Bus Barn,High School,WEST ELEMENTARY SCHOOL,184,8000.0,43.47826086956522
527,8044 128th ave ne kirkland wa 98033,WA ,26625,Rose Hill Elementary School,Elementary School,ROSE HILL ELEMENTARY,487,57000.0,117.04312114989733
236,2211 south 55th kansas city ks 66106,KS ,10420,Turner HS Natatorium Addition,High School,TURNER HIGH,1108,19648.0,17.732851985559567
542,85358 bagdad ave coachella ca 92236,CA ,31249,CVUSD - Bobby Duke MS Expansion,Academic,BOBBY DUKE MIDDLE,755,139000.0,184.10596026490066
131,14055 orchid ave rogers mn 55374,MN ,20918,Hassan Elementary,Elementary School,HASSAN ELEMENTARY,721,99353.0,137.7988904299584
292,3100 n 206th st elkhorn ne 68022,NE ,6169,"Westridge Elem Sch-Elkhorn, NE Public",Elementary School,WESTRIDGE ELEMENTARY SCHOOL,470,18700.0,39.787234042553195
506,7461 oliver ave s richfield mn 55423,MN ,23907,Richfield Junior High School  - Richfiel,High School,RICHFIELD MIDDLE,953,188220.0,197.50262329485835
483,700 n hartford st chandler az 85225,AZ ,14915,Hartford Elementary School Addition,Elementary School,HARTFORD SYLVIA ENCINAS ELEMENTARY,797,8013.0,10.053952321204516
508,7525 e grayhawk dr scottsdale az 85255,AZ ,16314,P.V. Elem #27-Grayhawk         Po 609744,Elementary School,GRAYHAWK ELEMENTARY SCHOOL,412,76761.0,186.3131067961165
17,1001 w stone st fayetteville ar 72701,AR ,25230,Fayetteville High School - Predesign,High School,FAYETTEVILLE HIGH SCHOOL EAST,2628,519000.0,197.48858447488584
539,8301 84th st ne marysville wa 98270,WA ,26957,Marysville High School             +,High School,MARYSVILLE GETCHELL HIGH SCHOOL,1550,195919.0,126.39935483870968
359,400 n brewster ave oakland ne 68045,NE ,5557,Oakland-Craig Elem Sch Addn,Elementary School,OAKLAND CRAIG ELEMENTARY,225,26290.0,116.84444444444445
288,301 south happy valley road nampa id 83687,ID ,13429,Nampa Columbia High School,High School,COLUMBIA HIGH SCHOOL,1261,262800.0,208.406026962728
239,222 memorial dr berlin wi 54923,WI ,24226,Berlin High School,High School,BERLIN HIGH,500,200000.0,400.0
127,13731 ks hwy 152 lacygne ks 66040,KS ,10258,Prairie View MS Performing Arts,,PRAIRIE VIEW HIGH,272,84000.0,308.8235294117647
298,312 gretten st gilbert ia 50105,IA ,8692,New Gilbert High School,High School,GILBERT HIGH SCHOOL,496,106500.0,214.71774193548387
299,312 gretten st gilbert ia 50105,IA ,8713,Gilbert HS-Fitness/Locker Rm Addition,High School,GILBERT HIGH SCHOOL,496,12000.0,24.193548387096776
300,312 gretten st gilbert ia 50105,IA ,8728,Gilbert High School Safe Room,High School,GILBERT HIGH SCHOOL,496,5346.0,10.778225806451612
301,312 gretten st gilbert ia 50105,IA ,8695,Gilbert New High School,High School,GILBERT HIGH SCHOOL,496,102000.0,205.6451612903226
74,1200 n calvert liberal ks 67901,KS ,80027,"Liberal, KS - Smith Elementary",Elementary School,MEADOWLARK ELEMENTARY SCHOOL,371,71743.0,193.37735849056602
447,5525 n 16th st phoenix az 85016,AZ ,14358,Madison Middle School No. 1,Middle School,MADISON #1 ELEMENTARY SCHOOL,1010,115515.0,114.37128712871286
242,2245 e 11th st stockton ca 95206,CA ,30541,Hamilton Middle School Modernization,Middle School,ALEXANDER HAMILTON ELEMENTARY,818,99720.0,121.90709046454768
283,300 11th ave nw new prague mn 56071,MN ,20916,Raven Stream Elementary,Elementary School,RAVEN STREAM ELEMENTARY,680,90157.0,132.58382352941177
338,3560 warder st nw washington dc 20010,DC ,79342,Bruce-Monroe Elementary School @ Park Vi,Elementary School,BRUCE-MONROE ES AT PARK VIEW,473,80000.0,169.13319238900635
341,36477 ruth ave madera ca 93636,CA ,30140,Webster Elementary School,Elementary School,WEBSTER ELEMENTARY,638,40624.0,63.67398119122257
207,2000 tiger ln albert lea mn 56007,MN ,24050,Albert Lea Senior High School,High School,ALBERT LEA SENIOR HIGH,1238,270000.0,218.09369951534734
491,7020 12th ave s richfield mn 55423,MN ,23908,Richfield Intermediate School - Richfiel,,RICHFIELD STEM SCHOOL,682,180000.0,263.92961876832845
320,326 e 103rd st kansas city mo 64114,MO ,10842,Center Middle School Addn & Renov,Middle School,CENTER MIDDLE,591,50100.0,84.77157360406092
195,1921 ames high dr ames ia 50010,IA ,7493,Ames High School Addition,High School,AMES HIGH SCHOOL,1383,280000.0,202.4584237165582
196,1921 ames high dr ames ia 50010,IA ,9029,"Ames, IA - High School Addition",High School,AMES HIGH SCHOOL,1383,280000.0,202.4584237165582
553,902 s jefferson kearney mo 64060,MO ,10902,Kearney Elementary School,Elementary School,KEARNEY ELEM.,269,61300.0,227.8810408921933
102,1250 swan rd de pere wi 54115,WI ,24239,Depere Elementary School,Elementary School,HERITAGE ELEMENTARY,577,112000.0,194.10745233968805
101,1250 swan rd de pere wi 54115,WI ,24292,Depere-Heritage Elem School-Addl CA Svc,Elementary School,HERITAGE ELEMENTARY,577,112000.0,194.10745233968805
31,1020 sw cherry st ankeny ia 50023,IA ,8470,Southview MS-Phase I 573Claims Support T,,SOUTHVIEW MIDDLE SCHOOL,884,114000.0,128.95927601809956
30,1020 sw cherry st ankeny ia 50023,IA ,8464,Ankeny New Middle School - Phase I,Middle School,SOUTHVIEW MIDDLE SCHOOL,884,125500.0,141.9683257918552
267,2623 nw sierra st camas wa 98607,WA ,28441,Dorothy Fox Elementary School Remodel,Elementary School,DOROTHY FOX,498,41236.0,82.80321285140562
353,3940 s teller street lakewood co 80235,CO ,73566,Addenbrooke Charter School D/B,Academic,ADDENBROOKE CLASSICAL ACADEMY,396,68800.0,173.73737373737373
342,369 school st marshall wi 53559,WI ,23952,Marshall Public Schools - Early Learning,,MARSHALL EARLY LEARNING CENTER,285,6416.0,22.512280701754385
166,1750 bob 's hollow ln dupont wa 98327,WA ,26878,Steilacoom-New Middle School           +,Middle School,PIONEER MIDDLE,796,107889.0,135.5389447236181
569,9820 madison ave south gate ca 90280,CA ,30700,LAUSD-South Gate New ES #6,Academic,MADISON ELEMENTARY,611,56411.0,92.32569558101473
419,500 sunset dr jordan mn 55352,MN ,70791,Jordan MS Additions & Remodeling,Middle School,JORDAN MIDDLE,642,168815.0,262.95171339563865
35,10325 south 188th street omaha ne 68136,NE ,68232,Gretna New Elementary Sch (Site Adapt),Elementary School,ASPEN CREEK ELEMENTARY SCHOOL,630,73625.0,116.86507936507937
65,1155 sw cherry st ankeny ia 50023,IA ,8186,Ankeny  High School,High School,ANKENY HIGH SCHOOL,1284,275000.0,214.17445482866043
158,1645 w mcdowell rd phoenix az 85007,AZ ,16147,PUHSD Franklin Police & Fire HS SD-CS,High School,FRANKLIN POLICE AND FIRE HIGH SCHOOL,288,15000.0,52.083333333333336
366,4114 madison st elk horn ia 51531,IA ,6110,"Elk Horn-Kimballton, IA CSD",,EXIRAELK HORN-KIMBALLTON HIGH SCHOOL,212,21007.0,99.08962264150944
8,1 school road heart butte mt 59448,MT ,13051,Heart Butte High School,High School,HEART BUTTE ELEMENTARY,99,36410.0,367.77777777777777
26,1010 nw prairie ridge dr ankeny ia 50023,IA ,7981,Northview Middle School Addition,Middle School,PRAIRIE RIDGE MIDDLE SCHOOL,977,26000.0,26.61207778915046
160,1700 1st ave sw worthington mn 56187,MN ,24169,Worthington Elem School-New Facility,Elementary School,PRAIRIE ELEMENTARY,1228,153640.0,125.11400651465799
51,1120 first ave east horton ks 66439,KS ,10304,Horton High School Remodel,High School,HORTON HIGH,149,45000.0,302.0134228187919
369,420 butte ave sw madras or 97741,OR ,30032,Metolius Elementary Addition,Elementary School,METOLIUS ELEMENTARY SCHOOL,288,10500.0,36.458333333333336
119,13210 glenn st omaha ne 68138,NE ,83411,Springfield Platteview Westmont Remod,Elementary School,WESTMONT ELEMENTARY SCHOOL,263,33200.0,126.23574144486692
252,2300 s dixieland rd rogers ar 72758,AR ,10360,Rogers (Ark.) High School,High School,ROGERS HIGH SCHOOL,2089,290530.0,139.0761129727142
484,700 swan rd de pere wi 54115,WI ,24240,Depere Middle School,Middle School,DE PERE MIDDLE,654,126000.0,192.6605504587156
485,700 swan rd de pere wi 54115,WI ,24386,DePere Middle School Litigation TRACKING,Middle School,DE PERE MIDDLE,654,126000.0,192.6605504587156
499,715 e 19th st kearney mo 64060,MO ,10310,Kearney Hs-Additions/Remodels,,KEARNEY HIGH,871,25000.0,28.70264064293915
318,3225 w ocotillo rd phoenix az 85017,AZ ,16322,Ocotillo Elem School           Po #20054,Elementary School,OCOTILLO SCHOOL,688,108000.0,156.97674418604652
441,516 w meadowmere springfield mo 65807,MO ,10909,Parkview High School,High School,PARKVIEW HIGH,1401,64174.0,45.80585296216988
34,1031 n main st manteca ca 95336,CA ,81147,Manteca USD - Golden West Modern.,Elementary School,GOLDEN WEST ELEMENTARY,536,66783.0,124.59514925373135
161,1701 lay st des moines ia 50317,IA ,65300,Phillips ES Classroom Addition,Elementary School,PHILLIPS ELEMENTARY,325,4270.0,13.138461538461538
20,1005 duke dr york ne 68467,NE ,5271,York High School Addition and Remodel,High School,YORK HIGH SCHOOL,455,50000.0,109.89010989010988
21,1005 duke dr york ne 68467,NE ,5275,York High School Remodel Pre Bond,High School,YORK HIGH SCHOOL,455,115000.0,252.74725274725276
436,505 n trussell ave moravia ia 52571,IA ,71616,Moravia Pre-K 12 Building Additions,,MORAVIA HIGH SCHOOL,185,22500.0,121.62162162162163
435,505 n trussell ave moravia ia 52571,IA ,71617,Moravia Pre-K 12 Building Additions,,MORAVIA HIGH SCHOOL,185,22500.0,121.62162162162163
434,505 n trussell ave moravia ia 52571,IA ,8882,Moravia Pre-K 12 Building Additions,Academic,MORAVIA HIGH SCHOOL,185,22500.0,121.62162162162163
22,101 knight ave s thief river falls mn 56701,MN ,23901,Lincoln Senior High School Addition,High School,LINCOLN SENIOR HIGH,586,52000.0,88.73720136518772
36,1035 15th st nevada ia 50201,IA ,8387,Nevada CSD Auditorium Addition,High School,NEVADA MIDDLE SCHOOL,464,18000.0,38.793103448275865
321,327 s west st emporia ks 66801,KS ,9207,Emporia Riverside Elementary,Elementary School,RIVERSIDE ELEMENTARY,434,56989.0,131.3110599078341
128,13930 ne 6th st alleman ia 50007,IA ,8106,North Polk New High School,High School,NORTH POLK HIGH SCHOOL,515,129000.0,250.48543689320388
287,301 17th st sw austin mn 55912,MN ,23894,Banfield Elementary Addition & Remodel,Elementary School,BANFIELD ELEMENTARY,422,63000.0,149.28909952606634
545,8800 w 85th st shawnee mission ks 66212,KS ,10300,Sm West High School            Po 763238,High School,SHAWNEE MISSION WEST HIGH,1654,230000.0,139.05683192261185
278,27847 42nd av s auburn wa 98001,WA ,27339,Federal Way Sch Dist-Valhalla Elem    +,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
276,27847 42nd av s auburn wa 98001,WA ,27340,Federal Way Sch Dist-Valhalla Elem,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
277,27847 42nd av s auburn wa 98001,WA ,27342,Federal Way Sch Dist-Valhalla Elem,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
16,1001 15th st nevada ia 50201,IA ,82840,Nevada HS - Ind. Tech & Agricultural Imp,High School,NEVADA HIGH SCHOOL,464,5760.0,12.413793103448276
422,501 edgewood avenue trenton nj 8618,NJ ,25477,New Cadwalader PreK-8 Center           N,,DAYLIGHT/TWILIGHT HIGH SCHOOL,891,148656.0,166.84175084175084
132,1406 n central ave avondale az 85323,AZ ,16243,Avondale Junior High School,High School,AVONDALE MIDDLE SCHOOL,418,71970.0,172.17703349282297
339,35827 32nd av s auburn wa 98001,WA ,27404,Federal Way Sch Dist-Lakeland Elem     +,Elementary School,LAKELAND ELEMENTARY SCHOOL,427,44703.0,104.69086651053864
540,833 e mesquite ave palm springs ca 92264,CA ,31797,PSUSD - Cahuilla ES #2 Relocation,Academic,CAHUILLA ELEMENTARY,483,43000.0,89.02691511387164
118,1320 nw 75 st seattle wa 98117,WA ,28484,Seattle SD- Whittier Elementary,Elementary School,WHITTIER ELEMENTARY SCHOOL,444,66030.0,148.71621621621622
84,121 hampel rd moscow mills mo 63362,MO ,11074,William Cappel Elementary Additions,Elementary School,WM. R. CAPPEL ELEM.,525,90000.0,171.42857142857142
262,25211 south 68 street firth ne 68358,NE ,2772,"Norris-Firth, NE Elementary Sch Addn",Elementary School,NORRIS INTERMEDIATE SCHOOL,579,18000.0,31.088082901554404
507,7500 e civic cir prescott valley az 86314,AZ ,15771,AAEC Charter H.S. Prescott Valley,High School,ARIZONA AGRIBUSINESS & EQUINE CENTER INC. - PRESCOTT VALLEY,298,33363.0,111.95637583892618
548,900 school st elk river mn 55330,MN ,20872,Elk River High School Addition,High School,ELK RIVER SENIOR HIGH,1738,60000.0,34.52243958573072
