,Address,State,ProjectKey,ProjectName,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
229,2200 state st granger ia 50109,IA ,73155,Woodward-Granger Existing ES Renovations,Elementary School,WOODWARD-GRANGER EARLY LEARNING CENTER,321,23660.0,73.70716510903426
230,2200 state st granger ia 50109,IA ,69563,Woodward-Granger ELC Roof Replacement,Elementary School,WOODWARD-GRANGER EARLY LEARNING CENTER,321,28330.0,88.25545171339564
464,620 sw 4th st forest lake mn 55025,MN ,21045,Central Learning Center Renovation,,FOREST VIEW ELEMENTARY,422,179000.0,424.1706161137441
296,3111 n 10th st marion ia 52302,IA ,81253,Linn-Mar HS Add & Reno Ph 2-Post Const,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
295,3111 n 10th st marion ia 52302,IA ,81252,Linn-Mar HS Add & Reno Ph 2-Post Const,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
297,3111 n 10th st marion ia 52302,IA ,81244,Linn-Mar HS Add & Reno Ph 2-Post Const,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
294,3111 n 10th st marion ia 52302,IA ,81254,Linn-Mar HS Add & Reno Ph 2-Post Const,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
43,10750 thunder mountain avenue colorado springs co 80908,CO ,19338,Pine Creek High School Addition,High School,PINE CREEK HIGH SCHOOL,1631,162000.0,99.32556713672594
42,10750 thunder mountain avenue colorado springs co 80908,CO ,20496,Academy High School #5,High School,PINE CREEK HIGH SCHOOL,1631,162000.0,99.32556713672594
356,3997 e lockwood dr phoenix az 85050,AZ ,14036,PVUSD Elem. #31,Elementary School,WILDFIRE ELEMENTARY SCHOOL,687,67000.0,97.5254730713246
488,701 crown hill rd excelsior springs mo 64024,MO ,10407,Excelsior Springs Middle Sch Humid -Trkg,Middle School,EXCELSIOR SPRINGS MIDDLE,639,98000.0,153.36463223787166
519,7801 n hws cleveland blvd bennington ne 68007,NE ,3899,Bennington New Elementary School,Elementary School,PINE CREEK ELEMENTARY,492,62500.0,127.03252032520325
347,3725 e love cactus drive phoenix az 85050,AZ ,15779,PVUSD Elementary School #32,Elementary School,FIRESIDE ELEMENTARY SCHOOL,826,88664.0,107.34140435835351
38,105 nw pleasant st ankeny ia 50023,IA ,7974,Parkview Middle School Additions,Middle School,PARKVIEW MIDDLE SCHOOL,916,24830.0,27.106986899563317
382,4315 e cashman dr phoenix az 85050,AZ ,16310,Paradise Valley Unified School District ,,DESERT TRAILS ELEMENTARY SCHOOL,611,76761.0,125.63175122749591
129,140 s gilbert rd gilbert az 85296,AZ ,14176,"Higley Maint, Trans, Warehouse Bldg Site",,GILBERT GLOBAL ACADEMY 7-12,130,18200.0,140.0
327,3333 penn ave n minneapolis mn 55412,MN ,21026,Lucy Laney Community School,Elementary School,LUCY LANEY @ CLEVELAND PARK ELEM,464,112000.0,241.3793103448276
351,3808 w joan de arc ave phoenix az 85029,AZ ,16324,Chaparral Elem Renovation      Po#990288,Elementary School,CHAPARRAL ELEMENTARY SCHOOL,523,63288.0,121.00956022944551
209,2002 e campbell ave phoenix az 85016,AZ ,16298,Madison Elementary School,Elementary School,MADISON CAMELVIEW ELEMENTARY,617,82880.0,134.32739059967585
83,1201 west cheyenne road colorado springs co 80906,CO ,20582,Cheyenne Mountain High School '99 Addns,High School,CANON ELEMENTARY SCHOOL,139,50000.0,359.71223021582733
406,4901 alburnett rd marion ia 52302,IA ,73136,Oak Ridge MS Addition,Middle School,OAK RIDGE SCHOOL,828,9200.0,11.11111111111111
407,4901 alburnett rd marion ia 52302,IA ,73137,Oak Ridge MS Addition,Middle School,OAK RIDGE SCHOOL,828,9200.0,11.11111111111111
405,4901 alburnett rd marion ia 52302,IA ,8888,Oak Ridge MS Addition,Middle School,OAK RIDGE SCHOOL,828,11600.0,14.009661835748792
208,2001 avenue b fort madison ia 52627,IA ,85689,Ft. Madison HS-HVAC Improvement Phase 2,High School,FORT MADISON HIGH SCHOOL,567,10745.0,18.950617283950617
55,11256 n 128th st scottsdale az 85259,AZ ,16263,Mountainside Middle School,Middle School,MOUNTAINSIDE MIDDLE SCHOOL,592,152700.0,257.93918918918916
170,1800 south 55th kansas city ks 66106,KS ,72827,Turner ASC HVAC Improvements,Academic,TURNER ELEM,583,25392.0,43.55403087478559
468,624 n rexford dr beverly hills ca 90210,CA ,35312,BHUSD - Hawthorne School - Modernization,High School,HAWTHORNE ELEMENTARY,609,108892.0,178.80459770114942
399,4600 s bright angel way chandler az 85249,AZ ,14235,Old Stone Ranch K-6 Elementary School,Elementary School,AUDREY & ROBERT RYAN ELEMENTARY,741,76500.0,103.23886639676114
210,2002 oak st granger ia 50109,IA ,82968,Woodward-Granger New Elementary School,Elementary School,WOODWARD-GRANGER ELEMENTARY SCHOOL,275,69000.0,250.9090909090909
270,2701 w memorial dr anthem az 85086,AZ ,13780,DVUSD  Elementary #22,Elementary School,GAVILAN PEAK SCHOOL,687,81114.0,118.06986899563319
19,1001 w stone st fayetteville ar 72701,AR ,25226,Fayetteville HS Additions & Renovations,High School,FAYETTEVILLE HIGH SCHOOL EAST,2628,177210.0,67.43150684931507
219,21000 141st ave rogers mn 55374,MN ,20881,Rogers High School,High School,ROGERS SENIOR HIGH,1617,255000.0,157.69944341372914
555,910 e washington st phoenix az 85034,AZ ,16431,Alternative Center For Education,,FAITH NORTH EARLY CHILDHOOD LEARNING CENTER,126,28824.0,228.76190476190476
273,2727 e siesta ln phoenix az 85050,AZ ,16417,Paradise Valley Elementary #28 Po #4897,Elementary School,SUNSET CANYON SCHOOL,426,76761.0,180.19014084507043
551,901 h ave milford ia 51351,IA ,7574,Okoboji High School Gymnasium Add.,High School,OKOBOJI HIGH SCHOOL,320,31303.0,97.821875
227,21395 goodview ave n forest lake mn 55025,MN ,21046,Century Jr HS,High School,FOREST LAKE AREA MIDDLE SCHOOL,844,171560.0,203.27014218009478
226,21395 goodview ave n forest lake mn 55025,MN ,66956,Forest Lake Century  Sch Add/Remodeling,Middle School,FOREST LAKE AREA MIDDLE SCHOOL,844,44765.0,53.03909952606635
568,9709 60 av s seattle wa 98118,WA ,26051,Emerson Elem-AutoCad Backgrounds,Elementary School,EMERSON ELEMENTARY SCHOOL,383,73578.0,192.10966057441254
559,9330 ne high school rd bainbridge island wa 98110,WA ,26612,The Commodore Ctr Ph 1-Demo & Renov,,BAINBRIDGE HIGH SCHOOL,1369,34000.0,24.83564645726808
268,2675 21st st w dickinson nd 58601,ND ,67195,Dickinson New Middle School Design,Middle School,DICKINSON MIDDLE SCHOOL,901,198000.0,219.7558268590455
466,6224 h st omaha ne 68117,NE ,6053,Ralston Sch-Karen Western Elem Addn/Remo,Elementary School,KAREN WESTERN ELEMENTARY SCH,188,35300.0,187.7659574468085
164,17077 w 165th st olathe ks 66062,KS ,9962,Prairie Creek Elementary - Additions,Elementary School,PRAIRIE CREEK ELEMENTARY,396,19880.0,50.2020202020202
3,1 grizzly way granite bay ca 95746,CA ,62955,Roseville Joint UHSD -Roseville HS Renov,High School,GRANITE BAY HIGH,2061,294000.0,142.64919941775838
271,2702 west 11th street kearney ne 68845,NE ,5760,Kearney High School (NE),High School,KEARNEY HIGH SCHOOL,1599,340000.0,212.63289555972483
40,10620 direct river dr coon rapids mn 55433,MN ,21177,AH ISD - Mississippi Elementary,Elementary School,MISSISSIPPI ELEMENTARY,395,4380.0,11.08860759493671
217,208 w 21st st yankton sd 57078,SD ,11566,Yankton Stewart Elem.School Add/Renov. N,Elementary School,STEWART ELEMENTARY - 05,260,13500.0,51.92307692307692
215,204 n league rd colfax ia 50054,IA ,7906,Colfax-Mingo H.S. Addition/Renovation,High School,COLFAX-MINGO HIGH SCHOOL,356,85540.0,240.2808988764045
522,800 w madison st gardner ks 66030,KS ,9374,Gardner Elementary FF & E,Elementary School,MADISON ELEMENTARY,567,74000.0,130.5114638447972
523,800 w madison st gardner ks 66030,KS ,9371,Gardner Elementary on Madison,Elementary School,MADISON ELEMENTARY,567,74000.0,130.5114638447972
32,10203 e mcdowell mountain ranc scottsdale az 85255,AZ ,16285,Desert Canyon Middle School - McDowell M,Middle School,DESERT CANYON ELEMENTARY,455,147698.0,324.610989010989
10,100 vadnais blvd vadnais heights mn 55127,MN ,20943,Agricultural and Food Sciences Academy,High School,AFSA HIGH SCHOOL,221,54000.0,244.34389140271495
451,5700 w harmon ave las vegas nv 89103,NV ,17270,Clark County 2-Story Prototype Elem,Elementary School,JOSEPH E THIRIOT ELEMENTARY SCHOOL,730,75000.0,102.73972602739725
444,532 northern heights seward ne 68434,NE ,2735,Seward High School Gym & Aud Addn,High School,SEWARD HIGH SCHOOL,548,54000.0,98.54014598540147
443,532 northern heights seward ne 68434,NE ,5971,Seward High School Addition,High School,SEWARD HIGH SCHOOL,548,58000.0,105.83941605839416
155,16200 kill creek road gardner ks 66030,KS ,9498,Gardner Middle School,Middle School,PIONEER RIDGE MIDDLE SCHOOL,601,133990.0,222.9450915141431
146,15815 n 29th st phoenix az 85032,AZ ,13899,Palomino Renovation,,PALOMINO INTERMEDIATE SCHOOL,506,9500.0,18.774703557312254
11,100 wolf run winneconne wi 54986,WI ,24243,Winneconne High School,High School,WINNECONNE HIGH,525,150500.0,286.6666666666667
147,15833 n 29th st phoenix az 85032,AZ ,13896,Palomino New Construction,Elementary School,PALOMINO PRIMARY SCHOOL,694,76000.0,109.51008645533142
126,13425 n 19th ave phoenix az 85029,AZ ,16352,Moon Mountain Elementary       Po #20054,Elementary School,MOON MOUNTAIN SCHOOL,653,100008.0,153.15160796324656
94,1245 n euclid ave ontario ca 91762,CA ,71898,CJUHSD-Chaffey High School Assessment,High School,CHAFFEY HIGH,3277,669240.0,204.22337503814464
148,15844 n 43rd st phoenix az 85032,AZ ,16283,Whispering Wind Elementary School - Para,Elementary School,WHISPERING WIND ACADEMY,669,83357.0,124.59940209267563
281,2910 sw applewood st ankeny ia 50023,IA ,7550,Crocker Elementary School,Elementary School,CROCKER ELEMENTARY SCHOOL,663,74000.0,111.61387631975867
280,2910 sw applewood st ankeny ia 50023,IA ,7967,Crocker Elementary School Additions,Elementary School,CROCKER ELEMENTARY SCHOOL,663,16300.0,24.585218702865763
310,318 e washington street gardner ks 66030,KS ,9602,Wheatridge MS Addn & Remodel,Middle School,WHEATRIDGE MIDDLE SCHOOL,544,77400.0,142.27941176470588
371,420 wacouta ave prairie du chien wi 53821,WI ,23971,Prairie Duchien-Ba Kennedy Elem Remodel,Elementary School,BA KENNEDY SCHOOL,236,9000.0,38.13559322033898
23,101 w 2nd st north little rock ar 72114,AR ,25278,North Little Rock HS - Additions/Renov,High School,NORTH LITTLE ROCK HIGH SCHOOL,2146,479154.0,223.27772600186393
250,22801 n 22nd st phoenix az 85024,AZ ,16296,Boulder Creek Elementary School - Paradi,Elementary School,BOULDER CREEK ELEMENTARY SCHOOL,733,76761.0,104.72169167803547
163,17077 w 165th st olathe ks 66062,KS ,9488,Spring Hill USD 230 Elementary,Elementary School,PRAIRIE CREEK ELEMENTARY,396,52152.0,131.6969696969697
504,7337 n 19th ave phoenix az 85021,AZ ,16351,Orangewood Elementary          Po #20054,Elementary School,ORANGEWOOD SCHOOL,965,104793.0,108.5937823834197
53,11221 northridge drive gretna ne 68028,NE ,2938,Gretna Squire Thomas Elementary,Elementary School,SQUIRE JOHN THOMAS ELEMENTARY,638,73000.0,114.42006269592477
541,850 e oak st monticello ia 52310,IA ,8962,Monticello High School,High School,MONTICELLO HIGH SCHOOL,387,93000.0,240.31007751937983
120,1322 avenue i gothenburg ne 69138,NE ,4849,Gothenburg K-12 Addn Phase 1,,GOTHENBURG SECONDARY SCHOOL,419,15000.0,35.79952267303103
66,11705 south 216th street gretna ne 68028,NE ,3616,Gretna Middle Sch Addn & Remodel,Middle School,GRETNA MIDDLE SCHOOL,674,129496.0,192.13056379821958
67,11705 south 216th street gretna ne 68028,NE ,2945,Gretna High School Addn & Renovation,High School,GRETNA MIDDLE SCHOOL,674,88179.0,130.82937685459942
213,202 w 3rd st louisville ne 68037,NE ,4605,Louisville Public Schools - Add/Renov,Middle School,LOUISVILLE MIDDLE SCHOOL,151,17700.0,117.21854304635761
189,19000 n 63rd ave glendale az 85308,AZ ,16363,DVUSD - The Highlands,,HIGHLAND LAKES SCHOOL,1138,106448.0,93.53954305799648
183,1816 n 3rd st oskaloosa ia 52577,IA ,7444,Oskaloosa H.S. Addition/Renovation,High School,OSKALOOSA HIGH SCHOOL,632,47800.0,75.63291139240506
175,1801 n eola rd aurora il 60502,IL ,12207,Metea Valley High School,High School,METEA VALLEY HIGH SCHOOL,2917,464200.0,159.13609873157353
180,1812 mansfield rd grand island ne 68803,NE ,5865,Grand Island - Westridge Middle School,Middle School,ENGLEMAN ELEMENTARY SCHOOL,537,18600.0,34.63687150837989
78,1201 west cheyenne road colorado springs co 80906,CO ,19208,Cheyenne Mtn SD - Swimming Pool Renov.,,CANON ELEMENTARY SCHOOL,139,16000.0,115.10791366906474
80,1201 west cheyenne road colorado springs co 80906,CO ,19206,Cheyenne Mtn SD - Auditorium Renovation,Academic,CANON ELEMENTARY SCHOOL,139,13000.0,93.5251798561151
81,1201 west cheyenne road colorado springs co 80906,CO ,19209,Cheyenne Mtn SD-Counseling Area Remodel,,CANON ELEMENTARY SCHOOL,139,2600.0,18.705035971223023
79,1201 west cheyenne road colorado springs co 80906,CO ,19205,Cheyenne Mtn SD - Academic Arts Facility,,CANON ELEMENTARY SCHOOL,139,27500.0,197.84172661870502
187,18480 california st elkhorn ne 68022,NE ,3864,Elkhorn West Dodge Station Elem Sch,Elementary School,WEST DODGE STATION ELEMENTARY,535,62500.0,116.82242990654206
449,5619 e glade ave mesa az 85206,AZ ,16327,Marilyn Wilson Elementary,Elementary School,WILSON ELEMENTARY SCHOOL,632,71124.0,112.5379746835443
185,1827 bygland rd se east grand forks mn 56721,MN ,23981,East Grand Forks Middle School,Middle School,CENTRAL MIDDLE,438,112000.0,255.70776255707761
550,9000 hillpointe rd las vegas nv 89134,NV ,17348,Sheldon Adelson High School,High School,WILLIAM LUMMIS ELEMENTARY SCHOOL,502,173200.0,345.0199203187251
453,5780 pacific rim blvd camas wa 98607,WA ,80984,Camas SD Sharp Middle School,Middle School,ODYSSEY MIDDLE SCHOOL,245,27575.0,112.55102040816327
537,8225 s 59th ave laveen az 85339,AZ ,14205,PUHSD New Comprehensive High School,High School,BETTY FAIRFAX HIGH SCHOOL,1708,345000.0,201.99063231850118
50,111 n chabal st solon ia 52333,IA ,8286,Solon Lakeview ES Add/Renov.,Elementary School,LAKEVIEW ELEMENTARY,462,14207.0,30.751082251082252
198,19660 farnam st elkhorn ne 68022,NE ,3213,Elkhorn Fire Ridge Elementary School,Elementary School,FIRE RIDGE ELEMENTARY SCHOOL,465,57900.0,124.51612903225806
9,100 jefferson st buffalo ia 52726,IA ,7333,Buffalo-Perry Elementary School,Elementary School,BUFFALO ELEMENTARY SCHOOL,267,54000.0,202.24719101123594
336,3501 seine street new orleans la 70114,LA ,1339,Sherwood Elementary School,Elementary School,PAUL HABANS CHARTER SCHOOL,838,110000.0,131.26491646778044
96,1245 n euclid ave ontario ca 91762,CA ,70551,CJUHSD Building E Replacement,High School,CHAFFEY HIGH,3277,60000.0,18.3094293561184
237,2215 s campus st kearney mo 64060,MO ,10408,Kearney Mid Level School,,KEARNEY JR. HIGH,540,64000.0,118.51851851851852
238,2215 s campus st kearney mo 64060,MO ,10852,Kearney Mid Level Phase II,,KEARNEY JR. HIGH,540,84837.0,157.10555555555555
85,1210 n 5th ave phoenix az 85003,AZ ,16430,Kenilworth Classroom Addition,,KENILWORTH ELEMENTARY SCHOOL,534,12000.0,22.471910112359552
233,2211 south 55th kansas city ks 66106,KS ,10430,Highland/Pierson/Turner High Remodel,,TURNER HIGH,1108,19000.0,17.14801444043321
234,2211 south 55th kansas city ks 66106,KS ,10413,Turner High School,High School,TURNER HIGH,1108,221693.0,200.08393501805054
554,908 3rd street steilacoom wa 98388,WA ,28508,Steilacoom SD-Saltar'S Point Elem. Renov,Elementary School,SALTARS POINT ELEMENTARY,471,47000.0,99.78768577494692
204,200 e 5th st kearney mo 64060,MO ,10972,Kearney Jr. High Addn & Remodel,Academic,KEARNEY MIDDLE,550,118500.0,215.45454545454547
438,510 long coulee rd holmen wi 54636,WI ,24092,Holmen Elem Sch-Evergreen Mods,Elementary School,EVERGREEN ELEMENTARY,367,15000.0,40.87193460490463
57,1130 main ave n bagley mn 56621,MN ,21899,Bagley High School Masonry Investig.   T,High School,BAGLEY SECONDARY,420,145000.0,345.23809523809524
28,10175 bustleon avenue philadelphia pa 19116,PA ,16739,GWHS                                   N,High School,WASHINGTON GEORGE HS,1410,346000.0,245.39007092198582
305,315 e montgomery ave ardmore pa 19003,PA ,16848,Lower Merion SD- District Admin Office,Academic,LOWER MERION HS,1532,80950.0,52.83942558746736
307,315 e montgomery ave ardmore pa 19003,PA ,16849,Lower Merion SD-  Admin Office-hourly,Academic,LOWER MERION HS,1532,80950.0,52.83942558746736
308,315 e montgomery ave ardmore pa 19003,PA ,50488,Lower Merion SD District Admin Office,Academic,LOWER MERION HS,1532,80950.0,52.83942558746736
304,315 e montgomery ave ardmore pa 19003,PA ,50489,Lower Merion SD District Admin Office,Academic,LOWER MERION HS,1532,80950.0,52.83942558746736
306,315 e montgomery ave ardmore pa 19003,PA ,16847,Lower Merion SD- District Admin Office,Academic,LOWER MERION HS,1532,80950.0,52.83942558746736
303,315 e montgomery ave ardmore pa 19003,PA ,16850,Lower Merion SD-Admin Office-hourly,Academic,LOWER MERION HS,1532,80950.0,52.83942558746736
477,661 capistrano drive pueblo west co 81007,CO ,20421,Pueblo West HS Add & Ren,High School,PUEBLO WEST HIGH SCHOOL,1394,55175.0,39.58034433285509
291,310 w pine liberal ks 67901,KS ,80024,"Liberal, KS - Pine Street ES",Elementary School,SUNFLOWER ELEMENTARY SCHOOL,621,71790.0,115.60386473429952
212,202 bagley ave nw bagley mn 56621,MN ,23915,Bagley High School,High School,BAGLEY ELEMENTARY,577,145000.0,251.2998266897747
430,502 48th st fort madison ia 52627,IA ,8594,Ft. Madison CSD 4 - 8 Building,Middle School,FORT MADISON MIDDLE SCHOOL,677,110205.0,162.78434268833087
489,701 s 37th st tacoma wa 98418,WA ,26580,Lincoln High School Renovation/Additions,High School,LINCOLN,1628,175000.0,107.49385749385749
490,701 s 37th st tacoma wa 98418,WA ,26584,Lincoln High School-WSSP Grant,High School,LINCOLN,1628,281964.0,173.1965601965602
240,2220 nw state st ankeny ia 50023,IA ,8590,Ankeny CSD Centennial High School,High School,ANKENY CENTENNIAL HIGH SCHOOL,1307,281000.0,214.99617444529457
486,700 w north st bradley il 60915,IL ,12400,BBCHS - 09 Phase I Addition,High School,BRADLEY-BOURBONNAIS C HIGH SCHOOL,1944,29500.0,15.174897119341564
145,1541 8th st des moines ia 50314,IA ,7391,Moulton Elementary Addition/Renovation,Elementary School,MOULTON ELEMENTARY SCHOOL,536,120710.0,225.205223880597
324,3325 bridge st saint francis mn 55070,MN ,20982,St Francis High School Addition,High School,ST. FRANCIS HIGH,1297,23280.0,17.9491133384734
492,705 n mary st lancaster pa 17603,PA ,16795,SDOL Wharton E.S. Renov & Add,Elementary School,THOMAS WHARTON EL SCH,367,24459.0,66.64577656675749
496,705 n mary st lancaster pa 17603,PA ,16797,SDOL Wharton E.S. Renov & Add,Elementary School,THOMAS WHARTON EL SCH,367,24459.0,66.64577656675749
494,705 n mary st lancaster pa 17603,PA ,16796,SDOL Wharton E.S. Renov & Add.,Elementary School,THOMAS WHARTON EL SCH,367,24459.0,66.64577656675749
493,705 n mary st lancaster pa 17603,PA ,16793,SDOL Wharton E.S. Renov & Add,Elementary School,THOMAS WHARTON EL SCH,367,24459.0,66.64577656675749
495,705 n mary st lancaster pa 17603,PA ,16794,SDOL Wharton E.S. Renov & Add.,Elementary School,THOMAS WHARTON EL SCH,367,24459.0,66.64577656675749
